Origin,FlightDate,Region
TUS,2017-01-17,Mountain
PHL,2017-01-30,MiddleAtlantic
MCI,2017-01-25,WestNorthCentral
PBI,2017-01-27,SouthAtlantic
GRR,2017-01-16,EastNorthCentral
SLC,2017-01-31,Mountain
ANC,2017-01-06,Pacific
SAT,2017-01-19,WestSouthCentral
GEG,2017-01-30,Pacific
PVD,2017-01-24,NewEngland
SDF,2017-01-13,EastSouthCentral
IAD,2017-01-05,SouthAtlantic
STL,2017-01-03,WestNorthCentral
SFO,2017-01-03,Pacific
PHL,2017-01-08,MiddleAtlantic
ORD,2017-01-10,EastNorthCentral
SLC,2017-01-22,Mountain
MDW,2017-01-30,EastNorthCentral
MEM,2017-01-04,EastSouthCentral
OGG,2017-01-24,Pacific
BHM,2017-01-28,MiddleAtlantic
HOU,2017-01-14,WestSouthCentral
ORD,2017-01-19,EastNorthCentral
LIT,2017-01-13,WestSouthCentral
PNS,2017-01-06,SouthAtlantic
BOI,2017-01-11,Mountain
LIH,2017-01-11,Pacific
MSP,2017-01-14,WestNorthCentral
BNA,2017-01-17,EastSouthCentral
GSO,2017-01-28,SouthAtlantic
LAS,2017-01-09,Mountain
LAS,2017-01-13,Mountain
SFO,2017-01-01,Pacific
LAS,2017-01-23,Mountain
CMH,2017-01-01,EastNorthCentral
PVD,2017-01-25,NewEngland
SAN,2017-01-01,Pacific
SAN,2017-01-22,Pacific
SDF,2017-01-12,EastSouthCentral
PIT,2017-01-28,MiddleAtlantic
RDU,2017-01-01,SouthAtlantic
IAD,2017-01-07,SouthAtlantic
LAS,2017-01-29,Mountain
ATL,2017-01-26,SouthAtlantic
COS,2017-01-08,Mountain
RSW,2017-01-26,SouthAtlantic
BHM,2017-01-23,EastSouthCentral
ABQ,2017-01-10,Mountain
ROC,2017-01-03,MiddleAtlantic
GSP,2017-01-14,SouthAtlantic
OKC,2017-01-23,WestSouthCentral
DFW,2017-01-29,WestNorthCentral
MYR,2017-01-03,SouthAtlantic
BOS,2017-01-30,NewEngland
PSP,2017-01-14,Pacific
HNL,2017-01-05,Pacific
RNO,2017-01-24,Mountain
DEN,2017-01-30,Mountain
BNA,2017-01-26,EastSouthCentral
ABQ,2017-01-05,Mountain
LIH,2017-01-20,Pacific
DTW,2017-01-12,EastNorthCentral
TYS,2017-01-31,EastSouthCentral
RSW,2017-01-14,SouthAtlantic
AUS,2017-01-23,WestSouthCentral
ATL,2017-01-03,SouthAtlantic
PIE,2017-01-23,SouthAtlantic
ORD,2017-01-11,EastNorthCentral
MSP,2017-01-10,WestNorthCentral
TPA,2017-01-18,SouthAtlantic
SLC,2017-01-30,Mountain
SJC,2017-01-14,Pacific
BWI,2017-01-09,SouthAtlantic
STL,2017-01-01,WestNorthCentral
MKE,2017-01-30,EastNorthCentral
ABQ,2017-01-31,Mountain
EWR,2017-01-12,MiddleAtlantic
TYS,2017-01-21,EastSouthCentral
SEA,2017-01-18,Pacific
SFO,2017-01-06,Pacific
IAD,2017-01-25,SouthAtlantic
SAV,2017-01-27,SouthAtlantic
IND,2017-01-09,EastNorthCentral
JFK,2017-01-15,MiddleAtlantic
JAX,2017-01-12,SouthAtlantic
GSO,2017-01-26,SouthAtlantic
HNL,2017-01-15,Pacific
TPA,2017-01-29,SouthAtlantic
DSM,2017-01-22,WestNorthCentral
MDW,2017-01-09,EastNorthCentral
BOS,2017-01-19,NewEngland
LGA,2017-01-30,MiddleAtlantic
BHM,2017-01-05,MiddleAtlantic
GSP,2017-01-24,SouthAtlantic
HOU,2017-01-21,WestSouthCentral
STL,2017-01-07,WestNorthCentral
PNS,2017-01-21,SouthAtlantic
MSN,2017-01-08,EastNorthCentral
MKE,2017-01-28,EastNorthCentral
SFB,2017-01-10,SouthAtlantic
NE,2017-01-14,WestNorthCentral
GSO,2017-01-21,SouthAtlantic
RNO,2017-01-06,Mountain
DFW,2017-01-12,WestNorthCentral
SNA,2017-01-07,Pacific
BNA,2017-01-03,EastSouthCentral
ORF,2017-01-26,SouthAtlantic
GSO,2017-01-16,SouthAtlantic
BWI,2017-01-08,SouthAtlantic
DAL,2017-01-24,WestSouthCentral
MSY,2017-01-04,WestSouthCentral
PBI,2017-01-15,SouthAtlantic
SNA,2017-01-22,Pacific
DFW,2017-01-19,WestNorthCentral
TPA,2017-01-28,SouthAtlantic
MCO,2017-01-30,SouthAtlantic
ONT,2017-01-15,Pacific
BDL,2017-01-25,NewEngland
BHM,2017-01-27,EastSouthCentral
GRR,2017-01-10,EastNorthCentral
IND,2017-01-12,EastNorthCentral
LGB,2017-01-06,Pacific
PIT,2017-01-27,MiddleAtlantic
DAL,2017-01-29,WestSouthCentral
DSM,2017-01-12,WestNorthCentral
SFB,2017-01-11,SouthAtlantic
OGG,2017-01-05,Pacific
SFB,2017-01-09,SouthAtlantic
ONT,2017-01-23,Pacific
LIH,2017-01-15,Pacific
OKC,2017-01-22,WestSouthCentral
ROC,2017-01-09,MiddleAtlantic
SYR,2017-01-03,MiddleAtlantic
EWR,2017-01-13,MiddleAtlantic
BWI,2017-01-30,SouthAtlantic
BHM,2017-01-31,MiddleAtlantic
ORD,2017-01-30,EastNorthCentral
IAD,2017-01-24,SouthAtlantic
BHM,2017-01-03,EastSouthCentral
SJC,2017-01-05,Pacific
FLL,2017-01-02,SouthAtlantic
DFW,2017-01-04,WestNorthCentral
DFW,2017-01-18,WestNorthCentral
MEM,2017-01-13,EastSouthCentral
SJC,2017-01-07,Pacific
NE,2017-01-19,WestNorthCentral
STL,2017-01-08,WestNorthCentral
SAT,2017-01-26,WestSouthCentral
STL,2017-01-05,WestNorthCentral
SYR,2017-01-10,MiddleAtlantic
FLL,2017-01-30,SouthAtlantic
HOU,2017-01-11,WestSouthCentral
SAT,2017-01-21,WestSouthCentral
BOI,2017-01-16,Mountain
GRR,2017-01-23,EastNorthCentral
LIT,2017-01-03,WestSouthCentral
JFK,2017-01-22,MiddleAtlantic
OAK,2017-01-08,Pacific
PWM,2017-01-19,NewEngland
BOS,2017-01-25,NewEngland
MEM,2017-01-02,EastSouthCentral
MSN,2017-01-14,EastNorthCentral
HOU,2017-01-06,WestSouthCentral
MSN,2017-01-23,EastNorthCentral
ANC,2017-01-13,Pacific
RDU,2017-01-25,SouthAtlantic
BHM,2017-01-29,EastSouthCentral
ICT,2017-01-29,WestNorthCentral
BOS,2017-01-03,NewEngland
PIE,2017-01-24,SouthAtlantic
LGB,2017-01-20,Pacific
SYR,2017-01-15,MiddleAtlantic
RSW,2017-01-01,SouthAtlantic
IND,2017-01-29,EastNorthCentral
PBI,2017-01-23,SouthAtlantic
TPA,2017-01-09,SouthAtlantic
EWR,2017-01-08,MiddleAtlantic
DCA,2017-01-27,SouthAtlantic
DAL,2017-01-16,WestSouthCentral
GEG,2017-01-10,Pacific
JFK,2017-01-26,MiddleAtlantic
SDF,2017-01-15,EastSouthCentral
RSW,2017-01-12,SouthAtlantic
SFO,2017-01-02,Pacific
DEN,2017-01-31,Mountain
LIH,2017-01-21,Pacific
BNA,2017-01-07,EastSouthCentral
SAN,2017-01-27,Pacific
JAX,2017-01-25,SouthAtlantic
PNS,2017-01-10,SouthAtlantic
ORD,2017-01-12,EastNorthCentral
HNL,2017-01-08,Pacific
MDW,2017-01-20,EastNorthCentral
SFO,2017-01-29,Pacific
SJC,2017-01-27,Pacific
MSP,2017-01-28,WestNorthCentral
SNA,2017-01-16,Pacific
LIT,2017-01-17,WestSouthCentral
ABQ,2017-01-16,Mountain
SFB,2017-01-12,SouthAtlantic
CMH,2017-01-30,EastNorthCentral
MDW,2017-01-28,EastNorthCentral
CVG,2017-01-20,EastNorthCentral
CMH,2017-01-26,EastNorthCentral
ANC,2017-01-09,Pacific
EWR,2017-01-11,MiddleAtlantic
IAD,2017-01-08,SouthAtlantic
MSY,2017-01-09,WestSouthCentral
DCA,2017-01-20,SouthAtlantic
ONT,2017-01-26,Pacific
TYS,2017-01-03,EastSouthCentral
EWR,2017-01-06,MiddleAtlantic
IAD,2017-01-14,SouthAtlantic
ORF,2017-01-28,SouthAtlantic
CVG,2017-01-02,EastNorthCentral
PVD,2017-01-12,NewEngland
MIA,2017-01-15,SouthAtlantic
PHX,2017-01-19,Mountain
LAX,2017-01-20,Pacific
SAN,2017-01-07,Pacific
MCO,2017-01-20,SouthAtlantic
CLE,2017-01-13,EastNorthCentral
LAX,2017-01-12,Pacific
LIT,2017-01-20,WestSouthCentral
ICT,2017-01-26,WestNorthCentral
KOA,2017-01-28,Pacific
DCA,2017-01-13,SouthAtlantic
JFK,2017-01-08,MiddleAtlantic
BNA,2017-01-13,EastSouthCentral
PWM,2017-01-30,NewEngland
TYS,2017-01-20,EastSouthCentral
FLL,2017-01-14,SouthAtlantic
SAT,2017-01-28,WestSouthCentral
SNA,2017-01-15,Pacific
CMH,2017-01-07,EastNorthCentral
BDL,2017-01-17,NewEngland
DSM,2017-01-25,WestNorthCentral
STL,2017-01-17,WestNorthCentral
ONT,2017-01-05,Pacific
STL,2017-01-18,WestNorthCentral
MKE,2017-01-21,EastNorthCentral
ATL,2017-01-13,SouthAtlantic
DTW,2017-01-19,EastNorthCentral
ROC,2017-01-15,MiddleAtlantic
MIA,2017-01-26,SouthAtlantic
ATL,2017-01-18,SouthAtlantic
ELP,2017-01-09,WestSouthCentral
DAY,2017-01-19,EastNorthCentral
NE,2017-01-07,WestNorthCentral
MDW,2017-01-29,EastNorthCentral
SEA,2017-01-08,Pacific
TUS,2017-01-10,Mountain
TPA,2017-01-20,SouthAtlantic
OKC,2017-01-11,WestSouthCentral
IND,2017-01-18,EastNorthCentral
KOA,2017-01-26,Pacific
ONT,2017-01-22,Pacific
PVD,2017-01-19,NewEngland
ORF,2017-01-14,SouthAtlantic
RNO,2017-01-16,Mountain
DAL,2017-01-17,WestSouthCentral
ATL,2017-01-02,SouthAtlantic
BUF,2017-01-31,MiddleAtlantic
MYR,2017-01-15,SouthAtlantic
SMF,2017-01-21,Pacific
BOI,2017-01-25,Mountain
SAV,2017-01-30,SouthAtlantic
IAD,2017-01-10,SouthAtlantic
IAH,2017-01-08,WestSouthCentral
ONT,2017-01-13,Pacific
RIC,2017-01-21,SouthAtlantic
CHS,2017-01-20,SouthAtlantic
MSP,2017-01-11,WestNorthCentral
DAY,2017-01-31,EastNorthCentral
CVG,2017-01-08,EastNorthCentral
BWI,2017-01-25,SouthAtlantic
OKC,2017-01-25,WestSouthCentral
PIT,2017-01-10,MiddleAtlantic
HOU,2017-01-04,WestSouthCentral
ABQ,2017-01-26,Mountain
DSM,2017-01-15,WestNorthCentral
OKC,2017-01-06,WestSouthCentral
JFK,2017-01-09,MiddleAtlantic
HOU,2017-01-26,WestSouthCentral
DAL,2017-01-20,WestSouthCentral
PHL,2017-01-04,MiddleAtlantic
MSY,2017-01-20,WestSouthCentral
MIA,2017-01-07,SouthAtlantic
DAY,2017-01-30,EastNorthCentral
IND,2017-01-31,EastNorthCentral
PSP,2017-01-13,Pacific
SMF,2017-01-04,Pacific
BWI,2017-01-29,SouthAtlantic
COS,2017-01-09,Mountain
DEN,2017-01-07,Mountain
MYR,2017-01-21,SouthAtlantic
